number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
1972,7-7-2018,Twitter,"""The Rigged Witch Hunt, originally headed by FBI lover boy Peter S (for one year) & now, 13 Angry Democrats, should look into the...""","By ""rigged witch hunt,"" Trump means special counsel Robert Mueller's investigation into his campaign's relationship with Russia. The investigation is being run by a Republican, Mueller himself. Though Mueller has indeed filled his team with Democrats, it is false to say the investigation is ""headed"" by these Democrats. ",Mueller investigation run by Democrats,no,https://twitter.com/realDonaldTrump/status/1015723140364865536,Robert Mueller,Russian ties,US intelligence,,Twitter,Highest tax,27,"""We're the highest-taxed nation in the world.""",7-10-2018
1971,7-7-2018,Twitter,"""Public opinion has turned strongly against the Rigged Witch Hunt and the 'Special' Counsel because the public understands that there was no Collusion with Russia (so ridiculous), that the two FBI lovers were a fraud against our Nation & that the only Collusion was with the Dems!""","Public opinion on special counsel Robert Mueller's investigation into the Trump campaign's relationship with Russia has indeed worsened in recent months, polls suggest. But the claim that ""the only collusion"" was by Democrats is simple nonsense: the word ""collusion"" -- in common language, a ""secret agreement or co-operation especially for an illegal or deceitful purpose"" -- just does not apply to Democrats' Russia-related activities. The accusation is based on the fact that the British ex-spy who produced a research dossier on the Trump campaign's alleged links to Russia, which was funded in part by Clinton's campaign, used Russian sources in compiling his information. That does not come close to meeting the definition of ""collusion.""",Democratic collusion,Yes,https://twitter.com/realDonaldTrump/status/1015697664514674689,Russian ties,Election,Robert Mueller,Democrats,Twitter,Obamacare dead,26,"""Obamacare is collapsing. It's dead; it's gone.""",
1970,7-7-2018,Twitter,"""Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon, the Washington Post, who constantly quote anonymous sources that, in my opinion, don't exist - They will both be out of business in 7 years!""","There is no evidence that the New York Times and Washington Post have invented fake sources for their stories on Trump. (Also, this was a particularly strange time to accuse the Post of promoting Amazon propaganda: the day prior, the Post had published a story headlined, ""Amazon continues to profit from the sale of white-supremacist propaganda, report says."") ",Sources made up,Yes,https://twitter.com/realDonaldTrump/status/1015586529484443648,Media,,,,Twitter,Offshore profits,23,"""We're going to be bringing back into this country probably an excess of $4 trillion -- $4 trillion -- that's outside of the country that right now, because of our tax laws, can't come back in.""",
1969,7-6-2018,Twitter,"""Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign (and others), colluded with Russia. They haven't figured out that this was an excuse for them losing the election!""","This lawsuit was not filed by the Democratic National Committee. Rather, it was filed by donors to the committee and by a former employee of the committee. (The lawsuit was dismissed on jurisdictional grounds, not because the court concluded that there was no collusion. The judge wrote, ""It bears emphasizing that this Court's ruling is not based on a finding that there was no collusion between defendants and Russia during the 2016 presidential election...The Court takes no position on the merits of plaintiffs' claims."")",DNC lawsuit,no,https://twitter.com/realDonaldTrump/status/1015278594795417600,Russian ties,Democrats,,,Twitter,Pace of success,19,"""We've signed more bills -- and I'm talking about through the legislature -- than any president ever""",
1968,7-5-2018,"Campaign rally in Great Falls, Montana","""Remember with Israel; remember when we had two votes on something having to do with Israel. I said we're watching; with all the aid we give all these countries, we're watching. We ended up getting 68 votes. We didn't do anything.""","Trump did not specify what votes he was talking about, but he has made this ""68 votes"" claim in the past when talking about the U.N. vote on his decision to recognize Jerusalem as the capital of Israel. The result of that vote was 128 countries against, nine in favour. To get to his total in the 60s, Trump, like Ambassador Nikki Haley, included abstentions (35) and countries that were not present to vote at all (21). But that (9 plus 35 plus 21) adds to 65, not 68. Haley accurately tweeted after the vote: ""The vote is in--65 countries refused to condemn the United States and 128 voted against us.""",68 countries Jerusalem,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Middle East,Israel,,,Speeches,No collusion,14,"""Virtually every Democrat has said there is no collusion. There is no collusion.""",
1967,7-5-2018,"Campaign rally in Great Falls, Montana","""And at the same time, we are restoring our security. We have people flooding our borders like they haven't flooded ever before. They're doing an incredible job, but we've never had a rush like this. That's because people want a piece of our action. They want to come into our economy. They want to come in.""","This is not even close to the peak for people trying to enter the U.S., even if you go back less than 20 years. In 2000, 1,643,679 people were apprehended at the southwest border. In 1999 it was 1,537,000, in 1998 it was 1,516,680. Through the first nine months of the 2018 fiscal year, as of June 2018, the total for the year was 382,526.",Never had more people trying to immigrate,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Immigration,,,,Speeches,Impossible to win,13,"""The Electoral College is almost impossible for a Republican to win.""",
1966,7-5-2018,"Campaign rally in Great Falls, Montana","""...I respect China, and I respect President Xi, but they've been killing us -- $507 billion dollars in trade deficits last year -- 507. Who the hell can lose 500...""","The U.S. has never once had a $500 billion trade deficit with China, according to U.S. government data. The deficit was $337 billion in 2017.",China trade deficit,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,China,Trade,Exaggeration,,Speeches,F-35 savings,13,"""I have already saved more than $700 million when I got involved in the negotiation on the F-35. You know about that.""",
1965,7-5-2018,"Campaign rally in Great Falls, Montana","""We love our miners. And we put our miners back to work, clean coal."" ","There has been a small increase in the number of people employed in coal mining since Trump's election. As of June 2018, 53,200 people were employeed in coal mining, up from 50,700 in January 2017, the month Trump took office. But the phrase ""clean coal"" is itself false; it is simply a creation of industry spin, without a scientific basis. ",Clean coal,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Energy,,,,Speeches,China 15 per cent,13,"""The big problem is we can't really compete competitively when China's at 15 per cent and we're at 35 per cent.""",
1964,7-5-2018,"Campaign rally in Great Falls, Montana","""We are allowing businesses to join forces to buy better health care for less money through association health plans. They just came out two weeks ago...Millions of people are already signing up.""",Nobody is signing up for Trump's new association health plans yet: they are not being offered until September.,Association health plans,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Health care,,,,Speeches,Immigration decline,12,"""We did it on the border. The border was like a sieve. Now it's down 78 per cent.""",
1963,7-5-2018,"Campaign rally in Great Falls, Montana","""Apple computer is spending $350 billion on new campuses, on new facilities. They're bringing back $350 billion. They're going to actually have -- probably, subject to the tax code, about $230 billion come back.""","Apple is not spending $350 billion on campuses and facilities. In January, it announced a $30 billion capital investment over five years, and it specifically mentioned a new campus and new data centres. While its press release did use a ""$350 billion"" figure, the company explained that this was not the amount of money it was bringing back into the country from abroad -- Trump clarified in the next sentence that it was bringing back less than $250 billion -- nor its capital investment. Rather, the company said this $350 billion, to be spent over five years, was a combination of the $30 billion in new capital investments and other regular spending it had previously planned -- and it specified that it had previously planned $55 billion in spending for 2018 at ""domestic suppliers and manufacturers."" In other words, Apple was previously on pace to spend, on operations, approximately $275 billion of the $350 billion it described in the announcement.",Apple 350 billion,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Economy,Jobs,Taxes,,Speeches,Mexico deficit,11,"""We have a trade deficit right now with Mexico of $71 billion. People can't believe it. ",
